i,j,center_dx_px,center_dy_px,rotation_angle_deg
1.600000000000000000e+01,5.000000000000000000e+00,1.887576982403516013e-02,-4.896912725484980911e-04,-1.799925043617197673e+02
1.600000000000000000e+01,6.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104091207090619e+01
1.600000000000000000e+01,7.000000000000000000e+00,1.887576982403516013e-02,-4.896912723779678345e-04,-1.799925043617197389e+02
1.600000000000000000e+01,8.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104083000437839e+01
1.600000000000000000e+01,9.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617195968e+02
1.700000000000000000e+01,0.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617195115e+02
1.700000000000000000e+01,1.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,5.739104091929389284e+01
1.700000000000000000e+01,2.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617195115e+02
1.700000000000000000e+01,3.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,5.739104091503069327e+01
1.700000000000000000e+01,4.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617195399e+02
1.700000000000000000e+01,5.000000000000000000e+00,1.887576982380778645e-02,-4.896912725484980911e-04,5.739104104054403166e+01
1.700000000000000000e+01,6.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617195115e+02
1.700000000000000000e+01,7.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,5.739104086562748108e+01
1.700000000000000000e+01,8.000000000000000000e+00,1.887576982380778645e-02,-4.896912724916546722e-04,-1.799925043617196252e+02
1.700000000000000000e+01,9.000000000000000000e+00,1.887576982380778645e-02,-4.896912726053415099e-04,5.739104085925578858e+01
1.800000000000000000e+01,0.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104079424187432e+01
1.800000000000000000e+01,1.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617193978e+02
1.800000000000000000e+01,2.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104086141076522e+01
1.800000000000000000e+01,3.000000000000000000e+00,1.887576982403516013e-02,-4.896912725484980911e-04,-1.799925043617193978e+02
1.800000000000000000e+01,4.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104076856071401e+01
1.800000000000000000e+01,5.000000000000000000e+00,1.887576982403516013e-02,-4.896912725484980911e-04,-1.799925043617194547e+02
1.800000000000000000e+01,6.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104086028216045e+01
1.800000000000000000e+01,7.000000000000000000e+00,1.887576982403516013e-02,-4.896912723779678345e-04,-1.799925043617193978e+02
1.800000000000000000e+01,8.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,5.739104077667142434e+01
1.800000000000000000e+01,9.000000000000000000e+00,1.887576982403516013e-02,-4.896912724916546722e-04,-1.799925043617192841e+02
1.900000000000000000e+01,0.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,-1.799925043617197389e+02
1.900000000000000000e+01,1.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104086918841574e+01
1.900000000000000000e+01,2.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,-1.799925043617197389e+02
1.900000000000000000e+01,3.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104086492523749e+01
1.900000000000000000e+01,4.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,-1.799925043617197673e+02
1.900000000000000000e+01,5.000000000000000000e+00,1.887576982426253380e-02,-4.896912725484980911e-04,5.739104099043859009e+01
1.900000000000000000e+01,6.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,-1.799925043617197389e+02
1.900000000000000000e+01,7.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,5.739104081552198977e+01
1.900000000000000000e+01,8.000000000000000000e+00,1.887576982426253380e-02,-4.896912724916546722e-04,-1.799925043617198526e+02
1.900000000000000000e+01,9.000000000000000000e+00,1.887576982426253380e-02,-4.896912726053415099e-04,5.739104081069451979e+01
