i,j,force_x,force_y,force_z,original_center_x_px,original_center_y_px,displaced_center_x_px,displaced_center_y_px,center_dx_px,center_dy_px,rotation_angle_deg,p1_original_x_px,p1_original_y_px,p1_displaced_x_px,p1_displaced_y_px,p1_dx_px,p1_dy_px,p2_original_x_px,p2_original_y_px,p2_displaced_x_px,p2_displaced_y_px,p2_dx_px,p2_dy_px,p3_original_x_px,p3_original_y_px,p3_displaced_x_px,p3_displaced_y_px,p3_dx_px,p3_dy_px
2.000000000000000000e+00,0.000000000000000000e+00,-4.770601063125595825e-12,-3.218943509914533119e-12,-8.592870771039086956e-10,3.352104396631627878e+02,1.703233238166538968e+02,3.352350810021214897e+02,1.703160288560210347e+02,2.464133895870190827e-02,-7.294960632862057537e-03,2.785864567495931610e+01,3.352104396631627878e+02,2.173449714499616618e+02,3.352331420637418091e+02,1.917532625629503684e+02,2.270240057902128683e-02,-2.559170888701129343e+01,3.759323810414077229e+02,1.468125000000000000e+02,3.166708843253725831e+02,1.595957449000317752e+02,-5.926149671603513980e+01,1.278324490003177516e+01,2.944884982849177959e+02,1.468125000000000000e+02,3.538012166172500770e+02,1.595990791050809889e+02,5.931271833233228108e+01,1.278657910508098894e+01
2.000000000000000000e+00,1.000000000000000000e+00,-1.749208688838764976e-08,-1.180195892718876221e-08,-7.596640503108286280e-07,3.352104396631627878e+02,2.643666190832694269e+02,3.352351489465526697e+02,2.643594242379859338e+02,2.470928338988187534e-02,-7.194845283493123134e-03,-1.799948363755825653e+02,3.352104396631627878e+02,2.173449714499616618e+02,3.352332100089493565e+02,2.857966579449117717e+02,2.277034578656866870e-02,6.845168649495010982e+01,3.759323810414077229e+02,2.878774428999233237e+02,3.166709522694168868e+02,2.536391402826835417e+02,-5.926142877199083614e+01,-3.423830261723978197e+01,2.944884982849177959e+02,2.878774428999233237e+02,3.538012845612917658e+02,2.536424744863624596e+02,5.931278627637396994e+01,-3.423496841356086406e+01
2.000000000000000000e+00,2.000000000000000000e+00,-5.711404141310555686e-07,-3.852982066365842694e-07,-1.369995126577970806e-05,3.352104396631627878e+02,3.113882667165772204e+02,3.352351489465526697e+02,3.113810718712937273e+02,2.470928338988187534e-02,-7.194845283493123134e-03,2.785867257215658910e+01,3.352104396631627878e+02,3.584099143498850140e+02,3.352332100089493565e+02,3.328183055782195652e+02,2.277034578656866870e-02,-2.559160877166544878e+01,3.759323810414077229e+02,2.878774428999233237e+02,3.166709522694168868e+02,3.006607879159913637e+02,-5.926142877199083614e+01,1.278334501606803997e+01,2.944884982849177959e+02,2.878774428999233237e+02,3.538012845612917658e+02,3.006641221196702531e+02,5.931278627637396994e+01,1.278667921974692945e+01
2.000000000000000000e+00,3.000000000000000000e+00,-1.787385270475027905e-04,-1.204373750302813650e-04,-1.668402586623599559e-03,3.352104396631627878e+02,4.054315619831927506e+02,3.352351489465526697e+02,4.054243671379092575e+02,2.470928338988187534e-02,-7.194845283493123134e-03,-1.799948363755825937e+02,3.352104396631627878e+02,3.584099143498850140e+02,3.352332100089493565e+02,4.268616008448350385e+02,2.277034578656866870e-02,6.845168649495002455e+01,3.759323810414077229e+02,4.289423857998466474e+02,3.166709522694168868e+02,3.947040831826068938e+02,-5.926142877199083614e+01,-3.423830261723975354e+01,2.944884982849177959e+02,4.289423857998466474e+02,3.538012845612917658e+02,3.947074173862857833e+02,5.931278627637396994e+01,-3.423496841356086406e+01
2.000000000000000000e+00,4.000000000000000000e+00,-1.731389077348782822e-03,-1.164550093476260460e-03,-1.137391329374104823e-02,3.352104396631627878e+02,4.524532096165004873e+02,3.352369370322222721e+02,4.524503165099088164e+02,2.649736905948429921e-02,-2.893106591670857597e-03,4.766873981982848818e+01,3.352104396631627878e+02,4.994748572498082808e+02,3.352186906924625305e+02,4.738875390389769109e+02,8.251029299742640433e-03,-2.558731821083136992e+01,3.759323810414077229e+02,4.289423857998466474e+02,3.166808996119561925e+02,4.417159239873900560e+02,-5.925148142945153040e+01,1.277353818754340864e+01,2.944884982849177959e+02,4.289423857998466474e+02,3.538112207922481502e+02,4.417474865033595393e+02,5.932272250733035435e+01,1.280510070351289187e+01
2.000000000000000000e+00,5.000000000000000000e+00,-5.147562812215097927e-02,-3.430193323866952138e-02,-2.065118110435378573e-01,3.352104396631627878e+02,5.464965048831161312e+02,3.354707051224588668e+02,5.464780951014515722e+02,2.602654592960789159e-01,-1.840978166455897735e-02,-1.792317735049244902e+02,3.352104396631627878e+02,4.994748572498082808e+02,3.351822329977025561e+02,5.679129481470054088e+02,-2.820666546023176124e-02,6.843809089719712802e+01,3.759323810414077229e+02,5.700073286997699142e+02,3.170535885890844838e+02,5.355126948753091938e+02,-5.887879245232323910e+01,-3.449463382446072046e+01,2.944884982849177959e+02,5.700073286997699142e+02,3.541762937805895035e+02,5.360086422820397729e+02,5.968779549567170761e+01,-3.399868641773014133e+01
2.000000000000000000e+00,6.000000000000000000e+00,-1.623153578507044170e-01,-1.072665519328474398e-01,-5.527512636652177624e-01,3.352104396631627878e+02,5.935181525164239247e+02,3.360124281330588474e+02,5.935129073017463952e+02,8.019884698960595415e-01,-5.245214677529475011e-03,4.394876632380038473e+01,3.352104396631627878e+02,6.405398001497317182e+02,3.352477174695582676e+02,6.149331646481805365e+02,3.727780639547972896e-02,-2.560663550155118173e+01,3.759323810414077229e+02,5.700073286997700279e+02,3.178605366095688396e+02,5.821561746697466333e+02,-5.807184443183888334e+01,1.214884596997660537e+01,2.944884982849177959e+02,5.700073286997700279e+02,3.549290303200494918e+02,5.834493825873121295e+02,6.044053203513169592e+01,1.344205388754210162e+01
2.000000000000000000e+00,7.000000000000000000e+00,-5.433465033647257858e-01,-3.521151572885385939e-01,-1.549757463447174022e+00,3.352104396631627878e+02,6.875614477830395117e+02,3.379214229896443271e+02,6.880047896972311037e+02,2.710983326481539279e+00,4.433419141915919681e-01,-1.746020823364501666e+02,3.352104396631627878e+02,6.405398001497317182e+02,3.358405459320724162e+02,7.093206610947860327e+02,6.301062689096283975e-01,6.878086094505431447e+01,3.759323810414077229e+02,7.110722715996932948e+02,3.206624538759281791e+02,6.756754990768257585e+02,-5.526992716547954387e+01,-3.539677252286753628e+01,2.944884982849177959e+02,7.110722715996932948e+02,3.572612691609323861e+02,6.790182089200816336e+02,6.277277087601459016e+01,-3.205406267961166122e+01
2.000000000000000000e+00,8.000000000000000000e+00,-5.566323908235143447e-01,-3.577490364293845482e-01,-1.606056425573887836e+00,3.352104396631627878e+02,7.345830954163471915e+02,3.379565300171785793e+02,7.350447568952404254e+02,2.746090354015791490e+00,4.616614788932338342e-01,3.848895000537224576e+01,3.352104396631627878e+02,7.816047430496549850e+02,3.358107495892346606e+02,7.563548605710194579e+02,6.003099260718727237e-01,-2.524988247863552715e+01,3.759323810414077229e+02,7.110722715996934085e+02,3.207387895060156211e+02,7.226621706390403688e+02,-5.519359153539210183e+01,1.158989903934696031e+01,2.944884982849177959e+02,7.110722715996934085e+02,3.573200509562854563e+02,7.261172394756615631e+02,6.283155267136766042e+01,1.504496787596815466e+01
2.000000000000000000e+00,9.000000000000000000e+00,-1.627425106668016763e-01,-1.034706202941526043e-01,-6.390909305583731825e-01,3.352104396631627878e+02,8.286263906829626649e+02,3.360139807981619242e+02,8.286257535062651414e+02,8.035411349991363750e-01,-6.371766975235004793e-04,-1.776693113709529825e+02,3.352104396631627878e+02,7.816047430496548714e+02,3.351340107506221102e+02,8.500418787938779133e+02,-7.642891254067762929e-02,6.843713574422304191e+01,3.759323810414077229e+02,8.521372144996165616e+02,3.179235057518051235e+02,8.171706945636919954e+02,-5.800887528960259942e+01,-3.496651993592456620e+01,2.944884982849177959e+02,8.521372144996165616e+02,3.549844258920585389e+02,8.186646871612255154e+02,6.049592760714074302e+01,-3.347252733839104621e+01
